Epoch	Time	Training accuracy	Test accuracy
0	64.197	0.350905		0.437305
1	111.618	0.498057		0.519238
2	179.994	0.557372		0.558887
3	227.7	0.597796		0.600293
4	275.093	0.633454		0.64082
5	322.584	0.659475		0.663574
6	405.949	0.680883		0.678809
7	453.393	0.701282		0.69209
8	500.933	0.717588		0.702637
9	548.737	0.7329			0.716504
10	596.254	0.741727		0.733984
11	643.765	0.755168		0.737109
12	691.506	0.764629		0.734082
13	739.126	0.773357		0.75752
14	786.741	0.781811		0.758789
15	834.314	0.788441		0.764648
16	882.16	0.793786		0.76582
17	929.68	0.800721		0.770312
18	977.222	0.807091		0.773633
19	1024.94	0.809929		0.774707
20	1072.51	0.816687		0.783594
21	1120.06	0.821214		0.768066
22	1167.83	0.827268		0.77373
23	1215.36	0.830529		0.774609
24	1262.83	0.833554		0.781152
25	1310.58	0.839306		0.775195
26	1358.06	0.842929		0.783887
27	1405.62	0.845974		0.781738
28	1453.43	0.851822		0.787207
29	1500.94	0.852244		0.786035
30	1548.42	0.857192		0.7875
31	1595.95	0.857592		0.795215
32	1643.89	0.863202		0.773047
33	1691.38	0.865685		0.797266
34	1738.99	0.868229		0.7875
35	1786.78	0.870018		0.792285
36	1834.27	0.874619		0.80332
37	1881.85	0.877664		0.804883
38	1929.61	0.879544		0.799609
39	1977.09	0.880509		0.79541
40	2024.57	0.880369		0.79043
41	2072.34	0.885005		0.79375
42	2119.94	0.886378		0.801562
43	2167.56	0.889804		0.800488
44	2215.27	0.891681		0.80166
45	2293.89	0.892748		0.798047
46	2341.38	0.894231		0.804004
47	2388.87	0.898037		0.805859
48	2436.6	0.898736		0.798437
49	2484.18	0.901723		0.797363
50	2531.8	0.901623		0.792285
51	2579.62	0.905433		0.796289
52	2627.1	0.927564		0.825684
53	2674.58	0.935417		0.827539
54	2722.42	0.940788		0.829199
55	2769.97	0.946595		0.828125
56	2817.56	0.949139		0.829492
57	2865.32	0.948162		0.829199
58	2912.81	0.949399		0.825879
59	2960.27	0.952484		0.828516
60	3008.06	0.954998		0.827539
61	3055.52	0.956711		0.827637
62	3103.06	0.956911		0.825586
63	3150.6	0.958273		0.826074
64	3198.49	0.959243		0.826758
65	3245.94	0.961238		0.82832
66	3293.49	0.959736		0.82959
67	3341.2	0.962054		0.82959
68	3388.66	0.963001		0.82666
69	3436.12	0.964483		0.829297
70	3483.83	0.96578			0.827246
71	3531.34	0.964002		0.82959
72	3578.84	0.966006		0.826855
73	3626.67	0.966717		0.82998
74	3674.14	0.967027		0.830273
75	3721.61	0.967949		0.828613
76	3769.34	0.968172		0.82793
