Epoch	Time	Training accuracy	Test accuracy
0	302.283	0.348254		0.366309
1	588.193	0.507372		0.517773
2	874.055	0.582352		0.544434
3	1161.46	0.650032		0.63584
4	1447.35	0.692248		0.675195
5	1733.23	0.723498		0.713086
6	2020.71	0.749442		0.730078
7	2306.66	0.773598		0.720312
8	2592.72	0.794071		0.782617
9	2880.15	0.814314		0.789746
10	3166.08	0.827744		0.783105
11	3452.16	0.839243		0.788086
12	3739.52	0.848892		0.81582
13	4025.39	0.860276		0.828711
14	4311.36	0.866506		0.824805
15	4597.31	0.872897		0.839063
16	4904.71	0.877212		0.833887
17	5190.59	0.883754		0.844434
18	5476.44	0.890104		0.848633
19	5763.78	0.892857		0.839453
20	6049.7	0.89976			0.83457
21	6335.53	0.904868		0.851758
22	6622.83	0.906788		0.85791
23	6908.72	0.910897		0.830078
24	7194.63	0.914363		0.849805
25	7481.89	0.918925		0.864844
26	7767.65	0.919371		0.846191
27	8053.5	0.921675		0.84502
28	8340.76	0.924645		0.859375
29	8626.56	0.926202		0.863086
30	8912.33	0.93121			0.865234
31	9198.09	0.932672		0.858496
32	9485.35	0.934491		0.871582
33	9771.07	0.936979		0.876172
34	10056.9	0.938902		0.880273
35	10344.2	0.941506		0.858984
36	10629.9	0.942027		0.874512
37	10915.7	0.94405			0.871094
38	11202.9	0.94601			0.868945
39	11488.6	0.946334		0.86582
40	11774.3	0.948518		0.882422
41	12061.6	0.95159			0.880176
42	12347.3	0.949139		0.875098
43	12633.1	0.951282		0.879785
44	12939.8	0.95452			0.879687
45	13225.5	0.953546		0.870313
46	13511.2	0.952163		0.87793
47	13797.1	0.957111		0.875098
48	14084.3	0.956393		0.873047
49	14370	0.956671		0.880078
50	14655.8	0.958814		0.882129
51	14943	0.960399		0.879883
52	15228.8	0.974679		0.900977
53	15514.5	0.98155			0.904102
54	15801.7	0.984515		0.905566
55	16087.4	0.986518		0.906055
56	16373.1	0.987961		0.906934
57	16660.3	0.988899		0.907031
58	16946	0.989423		0.907617
59	17231.7	0.990505		0.906445
60	17519	0.990294		0.905176
61	17804.7	0.991186		0.90625
62	18090.4	0.992147		0.90498
63	18376.1	0.992127		0.908008
64	18663.3	0.992486		0.907715
65	18948.9	0.993329		0.906934
66	19234.7	0.99403			0.906445
67	19521.8	0.994021		0.905371
68	19807.6	0.994291		0.906738
69	20093.3	0.994471		0.905078
70	20380.4	0.994479		0.905762
71	20666.1	0.995012		0.906055
72	20951.9	0.995433		0.906055
73	21239.1	0.995416		0.906055
74	21524.9	0.995633		0.907617
75	21810.7	0.995753		0.907422
76	22097.8	0.996373		0.908203
77	22383.5	0.996214		0.907617
78	22669.2	0.996314		0.907617
79	22954.8	0.996154		0.908105
80	23242.1	0.996213		0.908496
81	23527.7	0.996354		0.908691
82	23813.5	0.996755		0.906934
83	24100.6	0.996472		0.907129
84	24386.3	0.996975		0.904883
85	24671.9	0.997436		0.905762
